"bedrooms","household_size","ami_level","annual_income","max_affordable_rent","fmr","monthly_gap"
"Studio",1,"30% AMI",23600,590,1586,-996
"Studio",1,"50% AMI",39300,982,1586,-604
"Studio",1,"80% AMI",62850,1571,1586,-15
"Studio",1,"100% AMI",78600,1965,1586,379
"1-Bedroom",2,"30% AMI",26950,674,1647,-973
"1-Bedroom",2,"50% AMI",44900,1122,1647,-525
"1-Bedroom",2,"80% AMI",71800,1795,1647,148
"1-Bedroom",2,"100% AMI",89800,2245,1647,598
"2-Bedroom",3,"30% AMI",30300,758,1824,-1066
"2-Bedroom",3,"50% AMI",50500,1262,1824,-562
"2-Bedroom",3,"80% AMI",80800,2020,1824,196
"2-Bedroom",3,"100% AMI",101000,2525,1824,701
"3-Bedroom",4,"30% AMI",33650,841,2250,-1409
"3-Bedroom",4,"50% AMI",56100,1402,2250,-848
"3-Bedroom",4,"80% AMI",89750,2244,2250,-6
"3-Bedroom",4,"100% AMI",112200,2805,2250,555
"4-Bedroom",5,"30% AMI",36350,909,2852,-1943
"4-Bedroom",5,"50% AMI",60600,1515,2852,-1337
"4-Bedroom",5,"80% AMI",96950,2424,2852,-428
"4-Bedroom",5,"100% AMI",121200,3030,2852,178
