"region","year","bedrooms","fmr"
"Charlotte-Concord-Gastonia",2024,"Studio",1347
"Charlotte-Concord-Gastonia",2024,"1-Bedroom",1384
"Charlotte-Concord-Gastonia",2024,"2-Bedroom",1554
"Charlotte-Concord-Gastonia",2024,"3-Bedroom",1936
"Charlotte-Concord-Gastonia",2024,"4-Bedroom",2481
"Charlotte-Concord-Gastonia",2025,"Studio",1586
"Charlotte-Concord-Gastonia",2025,"1-Bedroom",1647
"Charlotte-Concord-Gastonia",2025,"2-Bedroom",1824
"Charlotte-Concord-Gastonia",2025,"3-Bedroom",2250
"Charlotte-Concord-Gastonia",2025,"4-Bedroom",2852
"Raleigh",2025,"Studio",1533
"Raleigh",2025,"1-Bedroom",1592
"Raleigh",2025,"2-Bedroom",1763
"Raleigh",2025,"3-Bedroom",2192
"Raleigh",2025,"4-Bedroom",2961
"Atlanta-Sandy Springs-Roswell",2025,"Studio",1591
"Atlanta-Sandy Springs-Roswell",2025,"1-Bedroom",1653
"Atlanta-Sandy Springs-Roswell",2025,"2-Bedroom",1830
"Atlanta-Sandy Springs-Roswell",2025,"3-Bedroom",2205
"Atlanta-Sandy Springs-Roswell",2025,"4-Bedroom",2653
